"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 28, 2018","6.77","6.70","6.90","6.65","630.18K","0.15%"
"Mar 27, 2018","6.76","6.86","6.92","6.74","965.69K","0.90%"
"Mar 26, 2018","6.70","7.02","7.08","6.69","1.89M","-6.03%"
"Mar 23, 2018","7.13","6.90","7.13","6.83","1.86M","-0.28%"
"Mar 22, 2018","7.15","7.22","7.29","7.00","721.28K","0.00%"
"Mar 21, 2018","7.15","7.00","7.30","7.00","1.44M","3.17%"
"Mar 20, 2018","6.93","6.71","6.96","6.33","2.73M","0.73%"
"Mar 19, 2018","6.88","7.32","7.41","6.81","2.37M","-6.01%"
"Mar 16, 2018","7.32","7.57","7.62","7.29","5.30M","-3.30%"
"Mar 15, 2018","7.57","7.78","7.78","7.32","1.85M","-1.69%"
"Mar 14, 2018","7.70","7.80","7.82","7.63","1.17M","-1.28%"
"Mar 13, 2018","7.80","7.87","7.87","7.76","1.19M","0.00%"
"Mar 12, 2018","7.80","7.92","8.00","7.71","2.76M","0.00%"
"Mar 09, 2018","7.80","7.74","7.93","7.67","1.91M","1.56%"
"Mar 08, 2018","7.68","7.70","7.77","7.67","1.39M","0.00%"
"Mar 07, 2018","7.68","7.58","7.76","7.49","2.16M","1.86%"
"Mar 06, 2018","7.54","7.43","7.55","7.30","1.15M","2.45%"
"Mar 05, 2018","7.36","7.20","7.37","7.03","1.05M","2.36%"
"Mar 02, 2018","7.19","7.05","7.29","6.98","1.36M","1.27%"
"Mar 01, 2018","7.10","7.19","7.20","6.98","1.17M","-1.80%"
"Feb 28, 2018","7.23","7.04","7.33","6.90","871.22K","3.88%"
"Feb 27, 2018","6.96","7.25","7.30","6.80","1.18M","-2.25%"
"Feb 26, 2018","7.12","7.23","7.40","7.08","850.56K","-0.97%"
"Feb 23, 2018","7.19","7.63","7.65","7.00","1.16M","-4.52%"
"Feb 22, 2018","7.53","7.75","7.97","7.40","2.84M","1.89%"
"Feb 21, 2018","7.39","7.00","7.58","7.00","1.92M","6.48%"
"Feb 20, 2018","6.94","6.65","6.94","6.63","1.00M","4.83%"
"Feb 19, 2018","6.62","6.86","6.87","6.62","463.01K","-1.93%"
"Feb 16, 2018","6.75","6.75","6.87","6.73","913.81K","1.05%"
"Feb 15, 2018","6.68","6.69","6.77","6.65","632.89K","1.37%"
"Feb 14, 2018","6.59","6.60","6.67","6.51","712.10K","2.01%"
"Feb 13, 2018","6.46","6.50","6.76","6.46","1.07M","2.05%"
"Feb 12, 2018","6.33","6.60","6.79","6.26","1.38M","-4.09%"
"Feb 09, 2018","6.60","6.67","6.77","6.50","1.29M","-3.65%"
"Feb 08, 2018","6.85","6.99","7.01","6.80","969.33K","-0.15%"
"Feb 07, 2018","6.86","6.92","7.26","6.80","1.70M","6.36%"
"Feb 06, 2018","6.45","6.61","6.89","6.40","2.10M","-8.51%"
"Feb 05, 2018","7.05","7.13","7.35","7.00","1.39M","-6.62%"
"Feb 02, 2018","7.55","7.50","7.65","7.50","668.48K","-0.40%"
"Feb 01, 2018","7.58","7.36","7.70","7.36","499.40K","2.99%"
"Jan 31, 2018","7.36","7.47","7.47","7.11","819.37K","-2.13%"
"Jan 30, 2018","7.52","7.71","7.74","7.51","744.82K","-2.46%"
"Jan 29, 2018","7.71","7.80","7.83","7.71","961.13K","-0.13%"
"Jan 25, 2018","7.72","7.73","7.80","7.71","494.90K","0.13%"
"Jan 24, 2018","7.71","7.77","7.82","7.71","648.93K","-0.64%"
"Jan 23, 2018","7.76","7.73","7.84","7.72","1.28M","0.78%"
"Jan 22, 2018","7.70","7.54","7.78","7.52","1.21M","2.80%"
"Jan 19, 2018","7.49","7.60","7.60","7.48","836.46K","-0.13%"
"Jan 18, 2018","7.50","7.89","7.95","7.40","2.00M","-3.85%"
"Jan 17, 2018","7.80","8.01","8.16","7.71","2.66M","2.36%"
"Jan 16, 2018","7.62","6.60","7.62","6.56","3.21M","16.87%"
"Jan 15, 2018","6.52","6.55","6.60","6.51","619.93K","0.31%"
"Jan 12, 2018","6.50","6.45","6.53","6.44","825.98K","1.09%"
"Jan 11, 2018","6.43","6.43","6.56","6.31","768.63K","-0.46%"
"Jan 10, 2018","6.46","6.67","6.68","6.33","976.47K","-3.00%"
"Jan 09, 2018","6.66","6.77","6.82","6.58","986.52K","0.91%"
"Jan 08, 2018","6.60","6.75","7.00","6.57","931.50K","-0.75%"
"Jan 05, 2018","6.65","6.39","6.79","6.39","1.07M","4.72%"
"Jan 04, 2018","6.35","6.30","6.40","6.30","356.24K","1.44%"
"Jan 03, 2018","6.26","6.50","6.55","6.20","775.10K","0.00%"
"Jan 02, 2018","6.26","6.00","6.31","6.00","859.63K","4.86%"
"Dec 29, 2017","5.97","6.04","6.04","5.95","289.83K","-1.16%"
"Dec 28, 2017","6.04","6.04","6.05","5.98","385.59K","0.33%"
"Dec 27, 2017","6.02","5.99","6.02","5.93","289.41K","1.86%"
"Dec 22, 2017","5.91","6.00","6.07","5.90","967.20K","0.17%"
"Dec 21, 2017","5.90","5.89","5.95","5.81","1.89M","3.87%"
"Dec 20, 2017","5.68","5.57","5.74","5.54","1.06M","2.16%"
"Dec 19, 2017","5.56","5.37","5.60","5.31","1.14M","4.32%"
"Dec 18, 2017","5.33","5.33","5.44","5.27","661.30K","0.57%"
"Dec 15, 2017","5.30","5.21","5.30","5.15","1.28M","1.92%"
"Dec 14, 2017","5.20","5.20","5.27","5.16","346.99K","0.97%"
"Dec 13, 2017","5.15","5.27","5.29","5.10","1.07M","-2.09%"
"Dec 12, 2017","5.26","5.19","5.27","5.19","1.17M","1.74%"
"Dec 11, 2017","5.17","5.16","5.21","5.13","857.21K","0.58%"
"Dec 08, 2017","5.14","5.05","5.21","5.01","945.42K","1.78%"
"Dec 07, 2017","5.05","4.99","5.13","4.93","612.30K","2.64%"
"Dec 06, 2017","4.92","5.16","5.23","4.90","1.28M","-4.65%"
"Dec 05, 2017","5.16","5.23","5.42","5.12","1.56M","0.00%"
"Dec 04, 2017","5.16","5.10","5.29","5.05","2.16M","7.50%"
"Dec 01, 2017","4.80","5.01","5.12","4.75","1.09M","-4.00%"
"Nov 30, 2017","5.00","5.12","5.15","4.97","3.76M","-1.57%"
"Nov 29, 2017","5.08","5.10","5.24","4.95","841.10K","-2.31%"
"Nov 28, 2017","5.20","4.95","5.24","4.81","1.40M","5.69%"
"Nov 27, 2017","4.92","5.30","5.30","4.70","1.89M","-5.93%"
"Nov 24, 2017","5.23","5.37","5.37","5.10","1.17M","-2.43%"
"Nov 23, 2017","5.36","5.65","5.65","5.35","946.95K","-5.13%"
"Nov 22, 2017","5.65","5.70","5.78","5.61","645.23K","-1.05%"
"Nov 21, 2017","5.71","5.72","5.76","5.62","656.95K","-0.17%"
"Nov 20, 2017","5.72","5.44","5.80","5.44","1.01M","4.76%"
"Nov 17, 2017","5.46","5.50","5.60","5.43","909.21K","-0.73%"
"Nov 16, 2017","5.50","5.38","5.62","5.23","3.22M","-5.01%"
"Nov 15, 2017","5.79","5.84","5.85","5.60","708.45K","-0.17%"
"Nov 14, 2017","5.80","6.00","6.00","5.72","775.20K","-2.36%"
"Nov 13, 2017","5.94","5.71","5.97","5.70","926.09K","5.69%"
"Nov 10, 2017","5.62","5.48","5.73","5.47","807.39K","2.74%"
"Nov 09, 2017","5.47","5.49","5.53","5.37","484.57K","0.74%"
"Nov 08, 2017","5.43","5.49","5.63","5.43","628.75K","0.18%"
"Nov 07, 2017","5.42","5.55","5.70","5.38","907.75K","-1.28%"
"Nov 06, 2017","5.49","5.26","5.51","5.23","1.07M","5.58%"
"Nov 03, 2017","5.20","5.18","5.25","5.16","1.07M","0.97%"
"Nov 02, 2017","5.15","5.20","5.27","5.14","802.81K","-0.39%"
"Nov 01, 2017","5.17","5.22","5.30","5.10","993.72K","-0.58%"
"Oct 31, 2017","5.20","5.30","5.30","5.09","610.37K","-1.89%"
"Oct 30, 2017","5.30","5.45","5.48","5.15","740.82K","-1.30%"
"Oct 27, 2017","5.37","5.40","5.55","5.36","545.82K","0.00%"
"Oct 26, 2017","5.37","5.45","5.45","5.18","530.15K","-1.47%"
"Oct 25, 2017","5.45","5.45","5.50","5.43","441.90K","0.18%"
"Oct 24, 2017","5.44","5.53","5.59","5.33","986.57K","-1.09%"
"Oct 23, 2017","5.50","5.44","5.62","5.44","917.24K","1.29%"
"Oct 20, 2017","5.43","5.39","5.44","5.20","1.10M","0.74%"
"Oct 19, 2017","5.39","5.28","5.54","5.28","2.11M","4.05%"
"Oct 18, 2017","5.18","5.05","5.29","4.86","2.41M","10.21%"
"Oct 17, 2017","4.70","4.38","4.70","4.38","1.21M","8.55%"
"Oct 16, 2017","4.33","4.33","4.37","4.30","367.51K","0.23%"
"Oct 13, 2017","4.32","4.37","4.37","4.29","332.87K","-1.14%"
"Oct 12, 2017","4.37","4.32","4.38","4.32","411.28K","1.63%"
"Oct 11, 2017","4.30","4.31","4.35","4.21","301.78K","0.23%"
"Oct 10, 2017","4.29","4.36","4.38","4.23","296.04K","-1.15%"
"Oct 09, 2017","4.34","4.30","4.47","4.27","294.79K","1.64%"
"Oct 06, 2017","4.27","4.16","4.30","4.15","207.38K","3.39%"
"Oct 05, 2017","4.13","4.22","4.23","4.12","448.20K","-2.13%"
"Oct 04, 2017","4.22","4.20","4.25","4.15","322.00K","0.48%"
"Oct 03, 2017","4.20","4.33","4.38","4.17","469.72K","-2.55%"
"Oct 02, 2017","4.31","4.23","4.33","4.20","221.78K","3.11%"
"Sep 29, 2017","4.18","4.14","4.21","4.09","303.13K","2.45%"
"Sep 28, 2017","4.08","4.18","4.18","4.03","1.67M","-0.73%"
"Sep 27, 2017","4.11","4.36","4.40","4.10","1.10M","-0.96%"
"Sep 26, 2017","4.15","4.22","4.23","4.07","594.76K","-2.35%"
"Sep 25, 2017","4.25","4.32","4.35","4.25","452.67K","-1.16%"
"Sep 22, 2017","4.30","4.36","4.40","4.27","352.50K","-0.92%"
"Sep 21, 2017","4.34","4.34","4.44","4.30","820.44K","1.40%"
"Sep 20, 2017","4.28","4.36","4.39","4.27","382.97K","-1.38%"
"Sep 19, 2017","4.34","4.25","4.46","4.23","651.78K","1.40%"
"Sep 18, 2017","4.28","4.45","4.48","4.26","535.69K","-3.82%"
"Sep 15, 2017","4.45","4.60","4.63","4.44","2.70M","-3.26%"
"Sep 14, 2017","4.60","4.48","4.75","4.48","1.60M","5.02%"
"Sep 13, 2017","4.38","4.15","4.42","4.15","1.91M","9.50%"
"Sep 12, 2017","4.00","3.87","4.00","3.87","525.51K","3.36%"
"Sep 11, 2017","3.87","3.88","3.88","3.85","301.91K","0.00%"
"Sep 08, 2017","3.87","3.85","3.88","3.81","468.07K","1.84%"
"Sep 07, 2017","3.80","3.82","3.84","3.78","693.00K","0.00%"
"Sep 06, 2017","3.80","3.83","3.84","3.79","931.28K","-1.04%"
"Sep 05, 2017","3.84","3.84","3.85","3.77","502.61K","-0.26%"
"Sep 04, 2017","3.85","3.89","3.89","3.80","381.52K","-0.26%"
"Sep 01, 2017","3.86","3.84","3.90","3.82","1.21M","2.39%"
"Aug 31, 2017","3.77","3.70","3.89","3.66","1.43M","3.01%"
"Aug 30, 2017","3.66","3.58","3.73","3.57","1.93M","3.68%"
"Aug 29, 2017","3.53","3.56","3.59","3.47","798.84K","-0.28%"
"Aug 28, 2017","3.54","3.62","3.72","3.53","772.45K","-1.67%"
"Aug 25, 2017","3.60","3.32","3.64","3.31","1.79M","11.11%"
"Aug 24, 2017","3.24","3.09","3.24","3.05","2.20M","4.85%"
"Aug 23, 2017","3.09","3.09","3.11","3.08","457.11K","0.00%"
"Aug 22, 2017","3.09","3.09","3.13","3.07","1.16M","0.00%"
"Aug 21, 2017","3.09","3.06","3.10","3.06","1.26M","1.31%"
"Aug 18, 2017","3.05","3.00","3.05","2.94","202.07K","1.67%"
"Aug 17, 2017","3.00","3.02","3.04","2.98","358.01K","-0.33%"
"Aug 16, 2017","3.01","3.00","3.01","2.94","104.38K","0.33%"
"Aug 15, 2017","3.00","3.04","3.05","2.95","93.84K","-1.32%"
"Aug 14, 2017","3.04","2.96","3.04","2.95","232.65K","2.36%"
"Aug 11, 2017","2.97","3.01","3.01","2.96","176.47K","-2.30%"
"Aug 10, 2017","3.04","3.05","3.07","3.01","201.08K","-0.33%"
"Aug 09, 2017","3.05","3.06","3.08","3.03","124.17K","0.00%"
"Aug 08, 2017","3.05","3.07","3.07","3.03","266.71K","-0.65%"
"Aug 07, 2017","3.07","3.07","3.07","3.03","185.87K","0.00%"
"Aug 04, 2017","3.07","3.07","3.08","3.02","80.83K","0.66%"
"Aug 03, 2017","3.05","3.05","3.07","3.01","67.43K","0.00%"
"Aug 02, 2017","3.05","3.08","3.08","3.03","100.72K","-0.97%"
"Aug 01, 2017","3.08","3.10","3.10","3.05","134.27K","-0.65%"
"Jul 31, 2017","3.10","3.08","3.10","3.05","172.07K","0.65%"
"Jul 28, 2017","3.08","3.09","3.10","3.05","218.70K","-0.32%"
"Jul 27, 2017","3.09","3.09","3.10","3.05","115.77K","0.00%"
"Jul 26, 2017","3.09","3.06","3.10","3.06","87.03K","0.98%"
"Jul 25, 2017","3.06","3.04","3.10","3.02","151.92K","1.32%"
"Jul 24, 2017","3.02","3.10","3.10","3.02","254.88K","-2.58%"
"Jul 21, 2017","3.10","3.07","3.10","3.07","164.88K","0.98%"
"Jul 20, 2017","3.07","3.10","3.10","3.07","354.68K","-0.97%"
"Jul 19, 2017","3.10","3.11","3.11","3.09","338.63K","0.00%"
"Jul 18, 2017","3.10","3.08","3.10","3.07","182.95K","0.32%"
"Jul 17, 2017","3.09","3.10","3.10","3.06","283.95K","-0.32%"
"Jul 14, 2017","3.10","3.06","3.14","3.06","617.48K","1.64%"
"Jul 13, 2017","3.05","3.03","3.13","3.03","1.06M","0.66%"
"Jul 12, 2017","3.03","3.00","3.05","3.00","153.24K","0.66%"
"Jul 11, 2017","3.01","2.89","3.07","2.89","274.61K","2.73%"
"Jul 10, 2017","2.93","3.15","3.15","2.85","431.29K","-5.79%"
"Jul 07, 2017","3.11","3.15","3.18","3.06","261.68K","-1.27%"
"Jul 06, 2017","3.15","3.20","3.20","3.13","308.74K","-0.94%"
"Jul 05, 2017","3.18","3.00","3.20","2.99","443.94K","6.00%"
"Jul 04, 2017","3.00","3.00","3.02","2.99","64.66K","0.00%"
"Jul 03, 2017","3.00","3.02","3.08","3.00","61.76K","1.69%"
"Jun 30, 2017","2.95","2.68","2.95","2.68","21.67K","9.26%"
"Jun 29, 2017","2.70","2.70","2.70","2.65","53.20K","-1.46%"
"Jun 28, 2017","2.74","2.73","2.74","2.67","102.18K","-0.36%"
"Jun 27, 2017","2.75","2.75","2.75","2.66","147.66K","0.00%"
"Jun 26, 2017","2.75","2.75","2.78","2.66","250.77K","1.10%"
"Jun 23, 2017","2.72","2.78","2.79","2.65","218.25K","-1.81%"
"Jun 22, 2017","2.77","2.84","2.86","2.76","157.41K","-2.81%"
"Jun 21, 2017","2.85","2.83","2.86","2.77","284.86K","0.71%"
"Jun 20, 2017","2.83","2.87","2.87","2.80","199.13K","-1.74%"
"Jun 19, 2017","2.88","2.82","2.89","2.80","313.92K","2.86%"
"Jun 16, 2017","2.80","2.82","2.83","2.76","204.17K","0.00%"
"Jun 15, 2017","2.80","2.86","2.89","2.80","210.31K","-2.10%"
"Jun 14, 2017","2.86","2.84","2.95","2.81","194.58K","1.42%"
"Jun 13, 2017","2.82","2.94","2.94","2.76","418.19K","-4.41%"
"Jun 09, 2017","2.95","2.98","2.99","2.95","186.77K","-0.67%"
"Jun 08, 2017","2.97","3.00","3.01","2.94","138.42K","-1.00%"
"Jun 07, 2017","3.00","3.00","3.03","2.98","373.34K","0.00%"
"Jun 06, 2017","3.00","3.05","3.15","2.96","459.45K","-1.64%"
"Jun 05, 2017","3.05","2.83","3.05","2.82","887.71K","9.71%"
"Jun 02, 2017","2.78","2.86","2.87","2.78","401.04K","-2.11%"
"Jun 01, 2017","2.84","2.75","2.94","2.73","1.11M","6.37%"
"May 31, 2017","2.67","2.66","2.74","2.60","1.73M","4.71%"
"May 30, 2017","2.55","2.58","2.58","2.54","201.51K","-0.78%"
"May 29, 2017","2.57","2.62","2.62","2.54","130.51K","0.00%"
"May 26, 2017","2.57","2.59","2.60","2.55","128.60K","1.58%"
"May 25, 2017","2.53","2.60","2.60","2.52","159.90K","-2.69%"
"May 24, 2017","2.60","2.50","2.63","2.50","402.66K","4.00%"
"May 23, 2017","2.50","2.51","2.51","2.48","189.54K","0.00%"
"May 22, 2017","2.50","2.48","2.51","2.45","254.34K","2.46%"
"May 19, 2017","2.44","2.47","2.47","2.41","175.24K","-0.41%"
"May 18, 2017","2.45","2.49","2.49","2.42","339.76K","-1.61%"
"May 17, 2017","2.49","2.51","2.53","2.49","392.51K","-0.80%"
"May 16, 2017","2.51","2.55","2.57","2.50","279.20K","-1.57%"
"May 15, 2017","2.55","2.62","2.63","2.55","198.18K","1.19%"
"May 12, 2017","2.52","2.58","2.62","2.50","250.55K","0.80%"
"May 11, 2017","2.50","2.60","2.65","2.50","339.64K","-1.96%"
"May 10, 2017","2.55","2.56","2.66","2.50","468.69K","0.39%"
"May 09, 2017","2.54","2.50","2.55","2.48","130.17K","2.01%"
"May 08, 2017","2.49","2.48","2.54","2.48","250.94K","1.63%"
"May 05, 2017","2.45","2.43","2.45","2.41","108.03K","0.82%"
"May 04, 2017","2.43","2.45","2.45","2.42","931.18K","-0.82%"
"May 03, 2017","2.45","2.45","2.45","2.43","68.09K","0.00%"
"May 02, 2017","2.45","2.41","2.47","2.41","534.15K","1.24%"
"May 01, 2017","2.42","2.34","2.44","2.34","115.75K","3.42%"
"Apr 28, 2017","2.34","2.43","2.44","2.32","248.22K","-4.10%"
"Apr 27, 2017","2.44","2.45","2.45","2.40","182.36K","-0.41%"
"Apr 26, 2017","2.45","2.41","2.50","2.41","882.40K","2.08%"
"Apr 24, 2017","2.40","2.38","2.41","2.32","246.10K","1.27%"
"Apr 21, 2017","2.37","2.30","2.40","2.30","343.83K","3.04%"
"Apr 20, 2017","2.30","2.31","2.36","2.28","285.77K","0.00%"
"Apr 19, 2017","2.30","2.37","2.37","2.26","211.22K","-3.36%"
"Apr 18, 2017","2.38","2.52","2.54","2.33","598.51K","-3.25%"
"Apr 13, 2017","2.46","2.29","2.47","2.21","656.52K","12.33%"
"Apr 12, 2017","2.19","2.15","2.32","2.15","334.36K","1.86%"
"Apr 11, 2017","2.15","2.09","2.15","2.07","610.15K","4.88%"
"Apr 10, 2017","2.05","1.98","2.09","1.98","130.18K","3.54%"
"Apr 07, 2017","1.98","2.02","2.02","1.97","483.21K","-1.98%"
"Apr 06, 2017","2.02","2.09","2.09","1.97","381.35K","-2.88%"
"Apr 05, 2017","2.08","2.14","2.14","2.06","175.81K","-1.42%"
"Apr 04, 2017","2.11","2.13","2.15","2.02","105.17K","-0.94%"
"Apr 03, 2017","2.13","2.15","2.15","2.08","114.73K","-0.93%"
"Mar 31, 2017","2.15","2.18","2.19","2.14","119.29K","-0.46%"
"Mar 30, 2017","2.16","2.19","2.20","2.15","145.50K","-1.37%"
"Mar 29, 2017","2.19","2.19","2.23","2.14","90.51K","0.00%"
"Mar 28, 2017","2.19","2.15","2.20","2.14","39.29K","2.82%"
"Mar 27, 2017","2.13","2.16","2.19","2.12","86.56K","-2.29%"
"Mar 24, 2017","2.18","2.25","2.25","2.17","151.45K","-3.11%"
"Mar 23, 2017","2.25","2.24","2.25","2.20","78.93K","0.45%"
"Mar 22, 2017","2.24","2.22","2.25","2.19","68.62K","1.82%"
"Mar 21, 2017","2.20","2.28","2.28","2.19","47.41K","-3.51%"
"Mar 20, 2017","2.28","2.32","2.32","2.25","74.08K","-1.72%"
"Mar 17, 2017","2.32","2.33","2.35","2.29","351.86K","0.00%"
"Mar 16, 2017","2.32","2.32","2.35","2.28","177.06K","1.75%"
"Mar 15, 2017","2.28","2.20","2.36","2.16","749.46K","3.64%"
"Mar 14, 2017","2.20","2.19","2.25","2.19","35.32K","0.00%"
"Mar 13, 2017","2.20","2.25","2.25","2.18","56.27K","-1.79%"
"Mar 10, 2017","2.24","2.21","2.28","2.21","131.71K","3.23%"
"Mar 09, 2017","2.17","2.20","2.22","2.13","124.22K","-0.91%"
"Mar 08, 2017","2.19","2.16","2.20","2.13","52.46K","1.86%"
"Mar 07, 2017","2.15","2.16","2.21","2.13","50.08K","0.00%"
"Mar 06, 2017","2.15","2.25","2.25","2.15","110.61K","-2.27%"
"Mar 03, 2017","2.20","2.30","2.30","2.19","125.76K","-4.35%"
"Mar 02, 2017","2.30","2.30","2.30","2.24","534.87K","1.32%"
"Mar 01, 2017","2.27","2.24","2.29","2.20","1.89M","1.79%"
"Feb 28, 2017","2.23","2.30","2.30","2.18","176.32K","-1.76%"
"Feb 27, 2017","2.27","2.10","2.32","2.02","334.67K","4.61%"
"Feb 24, 2017","2.17","2.33","2.34","2.15","1.08M","-7.26%"
"Feb 23, 2017","2.34","2.50","2.59","2.30","3.57M","-4.88%"
"Feb 22, 2017","2.46","2.36","2.50","2.36","318.76K","7.89%"
"Feb 21, 2017","2.28","2.30","2.37","2.24","157.95K","2.70%"
"Feb 20, 2017","2.22","2.45","2.49","2.19","428.96K","-8.26%"
"Feb 17, 2017","2.42","2.55","2.55","2.35","594.22K","-5.10%"
"Feb 16, 2017","2.55","2.65","2.65","2.52","158.10K","-3.77%"
"Feb 15, 2017","2.65","2.74","2.74","2.65","120.51K","-1.49%"
